dishLabel	countryLabel
Crottin de Berry à l’Huile d’Olive	France
tonkatsu	Japan
sujebi	South Korea
tamale	Mesoamerica
tteokbokki	South Korea
koshari	Egypt
moules-frites	Belgium
Loco moco	United States of America (USA)
Lacón Gallego	Spain
Saganaki	Greece
ampyang	Indonesia
Mohnzelten	Lower Austria
tirtlan	Italy
kilishi	Niger
kilishi	Nigeria
red velvet cake	United States of America (USA)
bakmi	Indonesia
Bamba	Israel
unadon	Japan
jambalaya	Louisiana
gu lou juk	China
Q1376963	Occitania
farofa	Brazil
Lohikeitto	Finland
ugali	Kenya
frikandel	Low Countries
Ful medames	Egypt
Möpkenbrot	Germany
Tonno del Chianti	Italy
gnocchi alla romana	Italy
blåbärssoppa	Sweden
grilletta	Germany
ribollita	Italy
lamian	China
Leskovački roštilj	Serbia
Matoke	Uganda
Moros y Cristianos	Spain
Häckerle	Poland
Häckerle	Germany
lontong	Indonesia
Hákarl	Iceland
red curry	Thailand
Syrniki	Eastern Europe
Kaspressknödel	Austria
Q1743404	Austria
Q1752442	Germany
skordalia	Greece
fried bread	Bohemia
fried bread	Moravia
Quatre mendiants	France
Tramezzino	Italy
Pasta con le sarde	Italy
kololak	Armenia
crab soup	France
crab soup	Germany
käsefladen	Switzerland
pissaladière	Italy
pissaladière	France
ostkaka	Sweden
Brussels waffle	Belgium
Lomo saltado	Peru
Malakoff	Switzerland
Sajoer	Indonesia
Mettigel	Germany
Q1960572	Belgium
Amsterdam onion	Netherlands
Jin deui	Indonesia
Flemish-style asparagus	Belgium
Cachupa	Cape Verde
Consommé	France
Pfefferpotthast	Germany
sale pisang	Indonesia
Pâté de campagne	France
Riebel	Austria
lekkerbekje	Netherlands
salt potatoes	United States of America (USA)
salt potatoes	Germany
Q2216200	Russia
serviettenknödel	Austria
serviettenknödel	Germany
serviettenknödel	Czech Republic
Sofrito (stew)	Greece
sour rye soup	Poland
sour rye soup	Bohemia
yaksik	South Korea
wolgwa-chae	South Korea
grass jelly	China
japchae	South Korea
rojak	Indonesia
paprikash	Hungary
Bayrisch Kraut	Germany
Q821733	Germany
lassi	India
bouillabaisse	France
shuizhu	China
coto makassar	Indonesia
yin yang fried rice	China
roast beef	England
cheese on toast	United Kingdom (UK)
osechi	Japan
Q862595	Indonesia
chili	Mexico
tajine	Maghreb
quesadilla	Mexico
Cendol	Indonesia
cocido	Spain
Leberknödel	Austria
Leberknödel	Germany
enchilada	Mexico
carbonara	United States of America (USA)
carbonara	Italy
Mont d'Or chaud	Switzerland
Mont d'Or chaud	France
feijoada	Portugal
Hochzeitssuppe	Germany
Spundekäs	Germany
bobotie	South Africa
takoyaki	Japan
Kongbap	South Korea
Q923440	Germany
galantine	France
soto ayam	Indonesia
fufu	Ghana
gachas	Spain
Avial	India
bocconotto	Italy
Migas	Spain
Potjevleesch	Belgium
salteña	Bolivia
Fabada asturiana	Spain
amatriciana sauce	Italy
buckwheat dumplings	Germany
Ganca	Romania
Caldo galego	Spain
calçotada	Spain
oromo	Kyrgyzstan
ossobuco	Italy
chakalaka	South Africa
chana masala	India
Chartreuse	France
chawanmushi	Japan
fried rice	China
club sandwich	United States of America (USA)
Luther Burger	United States of America (USA)
Lula kebab	Azerbaijan
Lula kebab	Armenia
Lula kebab	Iran
Lula kebab	Central Asia
Lula kebab	South Caucasus
Sarde in saor	Italy
Ndolé	Cameroon
Vorschmack	Eastern Europe
Q2400452	Saxony
Buddha's delight	China
lemper	Indonesia
sate kambing	Indonesia
ayam Taliwang	Indonesia
sayur asem	Indonesia
túrógombóc	Hungary
chè trôi nước	Vietnam
khichri	India
Pom	Suriname
mitraillette	Belgium
bsisa	North Africa
vine leaf roll	Turkey
Ema datshi	Bhutan
Zosui	Japan
dressed herring	Soviet Union
lazanki	Poland
Curd rice	India
sorrel soup	Eastern Europe
huevos rancheros	Mexico
Murukku	India
Dhansak	India
Undhiyu	India
tumpeng	Indonesia
dagobert	Belgium
Ablo	Togo
Ablo	Benin
Ablo	Ivory Coast
Ahriche	Morocco
Judías de El Barco de Ávila	Spain
Alouettes sans tête	Provence
albanian stew	Albania
Q2849806	Spain
Bai ye	China
Conejo en salmorejo	Spain
rousong	Japan
rousong	China
rousong	China
Zagorski Štrukli	Croatia
Pkaila	Tunisia
Fettuccine Alfredo	United States of America (USA)
Fettuccine Alfredo	Italy
Piyaz	Turkey
Piyaz	Iran
Piyaz	Iraq
Pan-bagnat	France
Bougna	New Caledonia
brissaouda	France
Brouet	Ancient Greece
caricole	Belgium
Champurrado	Mexico
Chebakia	Ottoman Empire
Chrik	Algeria
Cocas	Algeria
Coratella	Italy
Cotriade	France
Q2998748	France
Dibi	Senegal
Djenkoume	Togo
Kalamay	Philippines
Esqueixada	Spain
Usban	Tunisia
Usban	Libya
Q3059025	France
waffle	France
hamburger	United States of America (USA)
hamburger	Germany
crêpe	Russia
mille-feuille	France
fideuà	Spain
lasagna	Italy
spätzle	France
paper covered bone	China
pancake	United States of America (USA)
Bun cha	Vietnam
muesli	Switzerland
cold borscht	Lithuania
Ahle Wurst	Hesse
pemmican	North America
rijstevlaai	Belgium
rijstevlaai	Netherlands
dhokla	India
falafel	Egypt
falafel	Iran
French toast	France
Salisbury steak	United States of America (USA)
goulash	Hungary
gado-gado	Indonesia
Niçard salad	France
biangbiang noodles	China
Zwetschkenknödel	Austria–Hungary
manti	Xinjiang
Olivier salad	Russia
mandu	Goryeo
stoemp	Belgium
stoemp	France
Schläsches Himmelreich	Silesia
tarte flambée	France
tarte flambée	Germany
Rumford's Soup	Bavaria
pea soup	Ancient Greece
burrito	Mexico
Papa a la Hancaina	Peru
Onsen tamago	Japan
Chinmi	Japan
pepernoot	Netherlands
amuse-bouche	France
pilaf	Iraq
pilaf	Syria
Red beans and rice	United States of America (USA)
samosa	Iran
gimbap	South Korea
hotteok	South Korea
Pizza Margherita	Italy
coronation chicken	United Kingdom (UK)
Bauernfrühstück	Germany
hujiao bing	China
