dish	dishLabel	country	countryLabel
http://www.wikidata.org/entity/Q1141633	Crottin de Berry à l’Huile d’Olive	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q1142841	tonkatsu	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q1145039	sujebi	http://www.wikidata.org/entity/Q18097	Korea
http://www.wikidata.org/entity/Q1146697	Cuy chactado		
http://www.wikidata.org/entity/Q1147853	tamale	http://www.wikidata.org/entity/Q13703	Mesoamerica
http://www.wikidata.org/entity/Q1152783	klenät		
http://www.wikidata.org/entity/Q1156703	Q1156703		
http://www.wikidata.org/entity/Q1157710	Daitokuji nattō		
http://www.wikidata.org/entity/Q1190475	tteokbokki	http://www.wikidata.org/entity/Q18097	Korea
http://www.wikidata.org/entity/Q1195276	birthday cake		
http://www.wikidata.org/entity/Q1197104	koshari	http://www.wikidata.org/entity/Q79	Egypt
http://www.wikidata.org/entity/Q1200514	moules-frites	http://www.wikidata.org/entity/Q31	Belgium
http://www.wikidata.org/entity/Q1202255	Loco moco	http://www.wikidata.org/entity/Q30	United States
http://www.wikidata.org/entity/Q1216999	Porrusalda		
http://www.wikidata.org/entity/Q1218450	Lacón Gallego	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q1227144	Intxaursaltsa		
http://www.wikidata.org/entity/Q1228260	Dirty rice		
http://www.wikidata.org/entity/Q1243795	Tuna pot		
http://www.wikidata.org/entity/Q1244010	Saganaki	http://www.wikidata.org/entity/Q41	Greece
http://www.wikidata.org/entity/Q1244380	Q1244380		
http://www.wikidata.org/entity/Q1246619	Q1246619		
http://www.wikidata.org/entity/Q1257791	ampyang	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q1258151	Mohnzelten	http://www.wikidata.org/entity/Q42497	Lower Austria
http://www.wikidata.org/entity/Q1258510	tirtlan	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1266715	Q1266715		
http://www.wikidata.org/entity/Q1268122	duxelles		
http://www.wikidata.org/entity/Q1275331	oxtail		
http://www.wikidata.org/entity/Q1275345	Q1275345		
http://www.wikidata.org/entity/Q1275518	kilishi	http://www.wikidata.org/entity/Q1032	Niger
http://www.wikidata.org/entity/Q1275518	kilishi	http://www.wikidata.org/entity/Q1033	Nigeria
